Season,GROUP_VALUE,BLKA_percentile,FGM,FGM_percentile,FGA,FGA_percentile,FG3M,FG3M_percentile,FG3A,FG3A_percentile,FG_PCT,FG_PCT_percentile,FG3_PCT,FG3_PCT_percentile,EFG_PCT,EFG_PCT_percentile,PCT_AST_2PM,PCT_AST_2PM_percentile,PCT_UAST_2PM,PCT_UAST_2PM_percentile,PCT_AST_3PM,PCT_AST_3PM_percentile,PCT_UAST_3PM,PCT_UAST_3PM_percentile,PCT_AST_FGM,PCT_AST_FGM_percentile,PCT_UAST_FGM,PCT_UAST_FGM_percentile
2024-25 1H,Left Corner 3,31.041844577284373,0.375,68.23228010247652,0.8541666666666666,66.60973526900085,0.375,89.96584116140052,0.8541666666666666,88.15826928551097,0.439,68.13265015656134,0.439,91.04753771705096,0.659,83.14830629091945,0.0,32.23740392826644,0.0,33.731853116994024,0.944,77.09934528892684,0.056,89.56732137773983,0.944,72.33134073441504,0.056,57.07372615997723
2023-24,Left Corner 3,27.19565954560868,0.27848101265822783,57.57884028484232,0.5822784810126582,53.13665649372668,0.27848101265822783,84.9440488301119,0.5822784810126582,81.85825703628349,0.478,74.10986775178026,0.478,94.43879281112241,0.717,90.52221091895558,0.0,30.53577483892845,0.0,32.02780603594439,0.909,73.44862665310275,0.091,91.08172261783655,0.909,68.8538487622923,0.091,55.66293658867413
2024-25 2H,Right Corner 3,35.14115898959881,0.038461538461538464,32.12481426448737,0.23076923076923078,33.937592867756315,0.038461538461538464,68.75185735512629,0.23076923076923078,69.42050520059435,0.167,33.7147102526003,0.167,70.1040118870728,0.25,35.20059435364041,0.0,32.719167904903415,0.0,34.41307578008915,1.0,89.16790490341752,0.0,45.0520059435364,1.0,86.3150074294205,0.0,29.465081723625556
2024-25 1H,Right Corner 3,31.041844577284373,0.14583333333333334,47.73697694278395,0.4375,49.074864787930544,0.14583333333333334,77.59749501850271,0.4375,77.49786507258753,0.333,46.98263592371193,0.333,78.39453458582409,0.5,60.53230856817535,0.0,32.23740392826644,0.0,33.731853116994024,1.0,89.46769143182466,0.0,43.87987475092514,1.0,87.11927127810988,0.0,27.597495018502705
2023-24,Right Corner 3,27.19565954560868,0.11392405063291139,39.437097321125805,0.3670886075949367,42.11597151576806,0.11392405063291139,73.58426585283146,0.3670886075949367,74.53374025093252,0.31,37.35164462529671,0.31,73.48253645303492,0.466,52.000678195998645,0.0,30.53577483892845,0.0,32.02780603594439,0.889,72.3296032553408,0.111,92.20074601559851,0.889,67.56527636486945,0.111,56.95150898609698
2024-25 2H,Above the Break 3,79.39078751857355,2.4615384615384617,96.52303120356612,6.538461538461538,98.9004457652303,2.4615384615384617,99.43536404160476,6.538461538461538,99.34621099554234,0.376,55.0074294205052,0.376,83.83358098068351,0.565,68.33580980683506,0.0,32.719167904903415,0.0,34.41307578008915,0.656,70.96582466567607,0.344,97.44427934621099,0.656,56.43387815750371,0.344,75.09658246656761
2024-25 1H,Above the Break 3,77.28437233134073,2.5208333333333335,97.01110162254484,6.770833333333333,99.11756333617991,2.5208333333333335,99.43068602334188,6.770833333333333,99.40222032450897,0.372,54.711073156846005,0.372,83.56105892399658,0.558,69.92598918303445,0.0,32.23740392826644,0.0,33.731853116994024,0.76,70.3672075149445,0.24,96.29945915172217,0.76,60.37574722459436,0.24,69.0293196697979
2023-24,Above the Break 3,69.0233977619532,2.2531645569620253,95.18480840963038,6.037974683544304,98.32146490335707,2.2531645569620253,99.08443540183113,6.037974683544304,99.1522550016955,0.373,50.796880298406236,0.373,82.60427263479146,0.56,67.93828416412343,0.0,30.53577483892845,0.0,32.02780603594439,0.82,69.97287216005425,0.18,94.55747711088505,0.82,63.46219057307562,0.18,61.05459477789081
2024-25 2H,Backcourt,35.14115898959881,0.0,15.76523031203566,0.038461538461538464,21.188707280832094,0.0,34.205052005943536,0.038461538461538464,61.20356612184249,0.0,15.76523031203566,0.0,34.205052005943536,0.0,15.76523031203566,0.0,32.719167904903415,0.0,34.41307578008915,0.0,34.38335809806835,0.0,45.0520059435364,0.0,17.087667161961367,0.0,29.465081723625556
2024-25 1H,Backcourt,31.041844577284373,0.0,14.70253344719613,0.14583333333333334,30.515229148875605,0.0,33.333333333333336,0.14583333333333334,67.12211784799317,0.0,14.70253344719613,0.0,33.333333333333336,0.0,14.70253344719613,0.0,32.23740392826644,0.0,33.731853116994024,0.0,33.432963279248504,0.0,43.87987475092514,0.0,15.684600056931398,0.0,27.597495018502705
2023-24,Backcourt,27.19565954560868,0.0,12.258392675483215,0.05063291139240506,20.786707358426586,0.0,32.26517463546965,0.05063291139240506,61.81756527636487,0.0,12.258392675483215,0.0,32.26517463546965,0.0,12.258392675483215,0.0,30.53577483892845,0.0,32.02780603594439,0.0,32.31603933536792,0.0,42.675483214649034,0.0,12.868769074262461,0.0,24.720244150559513
